iter	Passed	Remaining
810	6424	1497
811	6427	1488
812	6431	1479
813	6447	1473
814	6455	1465
815	6461	1457
816	6466	1448
817	6474	1440
818	6478	1431
819	6482	1422
820	6486	1414
821	6490	1405
822	6493	1396
823	6497	1387
824	6515	1382
825	6518	1373
826	6522	1364
827	6531	1356
828	6534	1347
829	6539	1339
830	6542	1330
831	6546	1321
832	6549	1313
833	6552	1304
834	6555	1295
835	6559	1286
836	6562	1277
837	6565	1269
838	6568	1260
839	6572	1251
840	6575	1243
841	6592	1237
842	6596	1228
843	6599	1219
844	6603	1211
845	6633	1207
846	6658	1202
847	6664	1194
848	6685	1188
849	6710	1184
850	6720	1176
851	6728	1168
852	6733	1160
853	6751	1154
854	6759	1146
855	6765	1138
856	6770	1129
857	6774	1121
858	6778	1112
859	6782	1104
860	6786	1095
861	6790	1087
862	6793	1078
863	6796	1069
864	6800	1061
865	6803	1052
866	6806	1044
867	6809	1035
868	6812	1026
869	6815	1018
870	6821	1010
871	6824	1001
872	6827	993
873	6830	984
874	6834	976
875	6862	971
876	6872	963
877	6880	956
878	6886	948
879	6892	939
880	6898	931
881	6903	923
882	6906	915
883	6911	906
884	6916	898
885	6920	890
886	6925	882
887	6943	875
888	6948	867
889	6951	859
890	6955	850
891	6958	842
892	6962	834
893	6966	826
894	6973	818
895	6988	811
896	6992	802
897	6997	794
898	7001	786
899	7005	778
900	7009	770
901	7013	762
902	7018	753
903	7034	747
904	7039	739
905	7044	730
906	7049	722
907	7054	714
908	7058	706
909	7063	698
910	7097	693
911	7101	685
912	7105	677
913	7109	668
914	7114	660
915	7117	652
916	7127	645
917	7131	637
918	7136	628
919	7140	620
920	7145	612
921	7149	604
922	7153	596
923	7157	588
924	7161	580
925	7165	572
926	7170	564
927	7187	557
928	7192	549
929	7203	542
930	7207	534
931	7211	526
932	7215	518
933	7219	510
934	7224	502
935	7229	494
936	7233	486
937	7238	478
938	7243	470
939	7263	463
940	7267	455
941	7272	447
942	7277	439
943	7282	431
944	7287	424
945	7292	416
946	7297	408
947	7302	400
948	7307	392
949	7312	384
950	7316	376
951	7321	369
952	7326	361
953	7330	353
954	7335	345
955	7340	337
956	7345	330
957	7350	322
958	7367	314
959	7372	307
960	7376	299
961	7381	291
962	7386	283
963	7398	276
964	7402	268
965	7407	260
966	7412	252
967	7417	245
968	7423	237
969	7429	229
970	7434	222
971	7439	214
972	7443	206
973	7448	198
974	7459	191
975	7464	183
976	7469	175
977	7474	168
978	7498	160
979	7505	153
980	7510	145
981	7515	137
982	7521	130
983	7526	122
984	7536	114
985	7541	107
986	7545	99
987	7550	91
988	7555	84
989	7560	76
990	7565	68
991	7571	61
992	7596	53
993	7602	45
994	7627	38
995	7632	30
996	7636	22
997	7641	15
998	7645	7
999	7650	0
